"","Mast.cells","Neutrophils","Eosinophils","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.activated","Dendritic.cells.resting","B.cells.memory","B.cells.naive","Plasma.cells","T.cells.CD4.naive","T.cells.CD4.memory","T.cells.follicular.helper","Tregs","T.cells.CD4.activated","T.cells.CD8","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated"
"GSM2460692",3.2682905,51.5286782,0,23.5380755,8.1699793,4.3802831,2.0139564,0,0,1.7275765,0,0.9339522,1.6109194,1.538795,0.4725048,0,0.0683849,0,0.1103149,0.6382892,0
"GSM2460693",15.3945517,2.4356521,0,0.8318162,0,6.3992266,37.1019797,0,0.0595442,1.3374722,0.1675555,19.3123349,0,10.6150639,0,0,0,0,2.9515055,0,3.3932976
"GSM2460694",18.7228419,2.5238321,0,0.1817055,0,6.0188067,40.5184792,0,0,1.8855721,0,16.1409673,0,7.5712311,0.5905101,0,0,0,2.5389859,0,3.3070682
"GSM2460695",10.6251718,4.2358717,0,12.2507871,0.0380057,6.2252133,16.9228046,0,1.4007197,15.9040113,0,17.9093411,0,5.8215062,3.1475573,0,0,2.8251039,0.0455903,0,2.6483161
"GSM2460696",8.5262653,2.571968,0,1.3478609,0,8.0811937,27.1237299,0,0.5659773,1.8200101,1.1801673,21.4702272,0,7.8076656,4.3052182,0,0,0,5.4145242,0,9.7851921
"GSM177212",12.3141821,3.4946439,4.7598666,8.0147297,20.1708301,3.4247317,21.343081,0,1.6703357,0,2.3836385,0,0,3.0153413,9.2430171,1.9116128,0,5.931006,0.2781667,0,2.0448167
"GSM177213",12.6266381,2.0882328,6.4343943,16.580925,25.563406,2.7546551,23.1571307,0,0.5450517,0,0.1230002,0.1656213,0,5.3246851,1.181587,0.1944327,0,2.7432389,0,0,0.5170011
"GSM177214",2.5281114,5.1699242,4.6227516,13.3703936,33.3448761,1.712675,23.5371868,0,2.2917943,1.0118542,0,0,0,3.3588601,2.2824212,0,0,5.5633168,0,0.6826259,0.5232089
"GSM177215",3.0272745,6.2675574,9.6447852,0.0365072,40.2846466,1.9783506,18.2685337,0,2.2615713,4.336299,0,0,0,6.1963723,1.5884301,0,1.5024924,3.5472612,0,0.4627118,0.5972066
"GSM177315",18.475799,4.2315626,6.5154312,13.3189885,25.6289218,1.1718039,20.3059998,0,0.4345629,0.8054887,0,0.1488128,0,1.5224508,3.4986452,0,0,2.9134913,0,0,1.0280416
"GSM177318",1.6257794,2.9309955,13.7138172,4.0206826,36.0084656,2.4521207,29.1652597,0,0.9157083,0.5231711,0.1261461,0.2848544,0,3.129627,1.1822102,0.02452,0.4155678,2.6806642,0,0,0.8004104
